Year,Lat,Lon,days_below_55F,days_below_32F,days_below_28F,days_below_26F,annual_min_temp_F
1956,33.5,-94.75,164,34,17,10,20.863214
1956,33.5,-94.5,164,34,15,8,22.420635
1956,33.5,-94.25,165,28,12,5,23.47049
1956,33.5,-94.0,164,27,11,5,23.554865
1956,33.5,-93.75,163,30,9,6,23.386114
1956,33.5,-93.5,162,29,9,5,24.368732
1956,33.5,-93.25,163,29,9,2,24.07342
1956,33.5,-93.0,161,26,10,2,24.245686
1956,33.5,-92.75,159,25,9,2,24.271173
1956,33.5,-92.5,157,24,8,3,24.172735
1956,33.5,-92.25,159,26,8,3,23.965313
1956,33.5,-92.0,157,30,7,3,23.089924
1956,33.5,-91.75,158,30,7,4,22.548517
1956,33.5,-91.5,155,26,6,2,23.504766
1956,33.5,-91.25,154,19,6,3,23.93719
1956,33.5,-91.0,155,19,5,3,24.232502
1956,33.5,-90.75,154,19,4,3,23.717463
1956,33.5,-90.5,151,19,5,3,23.242853
1956,33.5,-90.25,156,24,6,3,21.931524
1956,33.5,-90.0,158,25,7,3,23.262188
1956,33.5,-89.75,162,26,6,3,23.191437
1956,33.5,-89.5,166,28,6,3,22.298468
1956,33.5,-89.25,168,29,7,4,21.747833
1956,33.5,-89.0,167,29,8,4,21.648077
1956,33.5,-88.75,167,35,10,4,21.294317
1956,33.5,-88.5,167,35,10,5,20.97088
1956,33.5,-88.25,166,33,10,5,21.63885
1956,33.5,-88.0,158,34,9,6,21.69378
1956,33.5,-87.75,161,33,9,6,21.785625
1956,33.5,-87.5,164,32,9,7,22.045782
1956,33.5,-87.25,166,33,9,7,22.03172
1956,33.5,-87.0,171,33,14,8,21.947346
1956,33.5,-86.75,174,33,15,9,22.28924
1956,33.5,-86.5,177,33,12,7,22.46458
1956,33.5,-86.25,176,31,13,7,23.0117
1956,33.5,-86.0,177,31,16,8,22.47381
1956,33.5,-85.75,182,38,15,9,22.076544
1956,33.5,-85.5,182,34,12,8,22.3534
1956,33.5,-85.25,185,35,16,9,21.8054
1956,33.5,-85.0,185,34,18,10,20.95462
1956,33.5,-84.75,183,35,18,10,21.303106
1956,33.5,-84.5,182,35,17,11,22.142902
1956,33.5,-84.25,177,34,14,8,22.360432
1956,33.5,-84.0,174,31,11,8,22.599493
1956,33.5,-83.75,171,28,11,6,23.021368
1956,33.5,-83.5,168,27,11,5,23.485432
1956,33.5,-83.25,167,22,11,5,23.545197
1956,33.5,-83.0,168,22,10,5,23.93543
1956,33.5,-82.75,166,24,10,5,24.174494
1956,33.5,-82.5,165,25,10,4,24.610432
1956,33.5,-82.25,163,20,8,2,25.636555
1956,33.5,-82.0,163,24,10,7,24.729523
1956,33.5,-81.75,163,24,10,7,23.6867
1956,33.5,-81.5,164,25,10,7,22.487873
1956,33.5,-81.25,163,25,9,7,21.883184
1956,33.5,-81.0,154,24,8,4,23.36678
1956,33.5,-80.75,150,21,6,0,26.124348
1956,33.5,-80.5,147,19,5,0,26.694317
